text;ground_truth;found;phrases_found;out_of
Youth unemployment in minority communities is about 40 to 45 percent;0.75;-1;0;9
Says Paul Ryan is still endorsing Trump;1.0;0.02509917125600092;2;5
If you look at states that are right to work they constantly do not have budget deficits and they have very good business climates;0.25;0.9084298923945286;7;22
What the Obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants;0.0;0.0005743538915715662;11;30
We cut business taxes so today 70 percent of our businesses dont pay a business tax;0.75;1.0;2;14
Says Mark Pryor votes with Obama 93 percent of the time;0.75;0.7074042429541216;4;9
We have a federal government that thinks they have the authority to regulate our toilet seats;1.0;0.990842812962371;3;14
Austin is a city that has basically doubled in size every 25 years or so since it was founded;1.0;1.0;1;17
The nuclear test conducted in our nation this time is the Earths 2054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests;1.0;0.11410742419908593;3;31
In the case of a catastrophic event the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct;0.0;0.9966946269957371;7;18
Under President George W. Bush we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt;1.0;0.9774160196501455;17;20
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law;0.0;0.02446062058192977;2;17
Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS;0.5;0.02509917125600092;2;14
Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra the failed solar compan;0.0;0.046446415297875854;4;14
Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe;0.0;0.06491663090469901;5;21
We have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes man-made disaster;0.0;0.11584058711604772;3;21
African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent;0.5;0.0;2;10
Obamacare will provide insurance to all non-U.S. residents even if they are here illegally;0.0;0.0;2;12
President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one;0.0;0.0;2;13
It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost Capt. Humayun Khans life;0.0;0.07324181705858757;7;19
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners;1.0;0.0;2;9
Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the countr;0.25;0.005380380017541708;4;19
Maggie Hassan raised tuition making it the highest in America;0.25;0.9984323498467209;2;8
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom;0.0;0.0;1;14
We created 800000 new jobs we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its histor;1.0;0.9023503408422481;9;29
We have towns in West Texas that are out of water that are having to truck in water;0.25;1.0;2;16
In Georgia women earn 82 cents for every dollar earned by men;0.5;0.02446062058192977;6;10
A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time;0.5;0.11584058711604761;9;30
They were going to build the wall a while ago not so long ago like in 06. And they couldnt get environmental impact statements;0.25;0.01982263416707386;5;22
Sen. Obamas campaign announced that hes choosing his cabinet;0.0;-1;0;7
In 2008 only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out;0.75;0.963411894213387;5;18
Only 2 percent of public high schools in the country offer PE classes;0.0;0.9294885991494313;6;11
Said hes the only Republican candidate whos actually turned around a government economy;0.75;0.9771268526121949;3;11
On military recruiters at Harvard Elena Kagan took a position and the Supreme Court ruled unanimously that she was wrong;1.0;0.02446062058192977;2;18
There are 321092 public school teachers in Texas. And there are 313850 non-teachers in our public schools;0.75;0.0006139413050139098;2;15
Under Mayor Cicilline Providence was a sanctuary city;0.0;1.0;1;6
Transgender individuals in the U.S. have a 1-in-12 chance of being murdered;0.0;0.02446062058192977;2;10
At Bain Capital we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised;1.0;-1;0;19
Says the man who rushed the stage at him in Dayton Ohio had chatter about ISIS or with ISIS in his social media posts;0.0;1.0;1;22
U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant;0.25;0.06616129930136194;5;15
Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America;0.25;0.00012963837369428521;4;14
If you take the population growth here in Virginia we are net zero on job creation since Bob McDonnell became governor;1.0;0.969714545556083;6;19
Under Obama home values in Florida collapsed construction jobs were lost and the state had a high foreclosure rate;0.25;0.02509917125600092;2;17
The new Arizona immigration law says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person;0.75;0.005380380017541708;4;24
The only time in our history when the debt has been higher than this was the end of World War II;0.75;0.08132216377786516;12;19
The cost of health care is now the single-biggest factor driving down the federal budget deficit;0.75;0.16508928159433334;7;14
During the recession the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent;1.0;1.0;2;18
On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings;0.0;0.02509917125600092;2;11
Says one out of three U.S. homeless men is a veteran;0.25;0.9482375225314149;2;9
Says Charlie Crist supports cuts to the Medicare Advantage program;0.0;0.9482375225314149;2;8
I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together  forget the United States;0.5;0.990842812962371;3;30
Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control;1.0;0.0005983219592531341;8;12
At some point in their lives 99% of women use birth control;0.5;0.0;2;10
In the past 20 years Egypt has made great strides in political and democratic reform;0.0;0.7657631620520681;4;13
The amount of attention paid this week to Chris Christie makes the coverage of Benghazi pale in significance;0.0;0.02509917125600092;2;16
Says U.S. Rep. Steve Southerland voted to keep the shutdown going;1.0;2.7497360818418137e-05;6;9
In Rick Perrys Texas we import nurses from other countries;0.5;0.0;2;8
There is a federal criminal law that says its a crime to transport dentures across state lines;0.75;0.046446415297875854;4;15
We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders;0.75;0.0;1;21
Sen. McCains tax plan provides virtually nothing to the middle class;0.25;0.002791138408915206;3;9
Austin is burdened by the fastest-growing tax increases of any major city in the nation;0.0;0.9482375225314149;4;13
Phoenix Arizona is the No. 2 kidnapping capital of the world;0.0;0.00021151218147719142;7;9
I belong to the AFL-CIO;1.0;-1;0;3
The insurance commissioner cant do squat about health care;0.75;-1;0;7
Says a poll found him the only Republican candidate who could beat Barack Obama in Texas  and by eight points;0.5;0.9793686632877625;6;18
President Ronald Reagan sent troops into conflict only in one circumstance which was in Grenada We were in a peacekeeping setting in Lebanon;0.25;0.02509917125600092;2;21
Says David Jolly supports privatizing Social Security;0.25;0.002791138408915206;3;5
Did you know US population growth is at its lowest since the Great Depression;1.0;0.9878753209534076;4;12
The average student in Florida what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones;0.75;0.963411894213387;5;27
Since 1968 more Americans have died from gunfire than died in all the wars of this countrys history;1.0;0.02446062058192977;2;16
A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender;0.75;0.046446415297875854;4;33
The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house;0.0;0.21436484745508577;4;23
The Atlanta streetcar is expected to create 930 jobs during construction totaling more than 5600 jobs over the next 20 years;0.0;0.002791138408915095;6;19
Raising the minimum wage to $10.10 an hour would help lift over a million Americans out of poverty;0.75;0.9482375225314149;10;16
Says Secretary of State John Kerry when he was a senator flew to Managua and met with a communist dictator there Daniel Ortega and accused the Reagan administration of engaging in terrorism;0.75;0.16716745524491095;7;30
NATO is opening up a major terror division. Im sure Im not going to get credit for it but that was largely because of what I was saying and my criticism of NATO;0.0;0.007664163755430331;5;31
Sen. Obama has always had a 100 percent prochoice rating;1.0;0.9771268526121949;3;8
Since Gina Raimondo took office investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million;0.5;0.002791138408915206;3;22
The federal debt is growing by more than $4 billion a day;1.0;0.8230921801765265;6;10
Under President Barack Obamas jobs bill states would no longer have to lay off teachers firefighters and police officers;0.5;0.009279462638988378;6;17
Of our 98000 teachers who are K-12 over 53000 of those teachers today are over 50 years old;0.0;1.0;1;16
Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions;0.75;-1;0;17
Under President Obamas health-care reforms the premium for an average plan for a family didnt go down by $2500 per year its gone up about $2500 per year;0.5;0.0052998808129216535;4;26
The IRS also investigated liberal groups groups that had progressive in their name. The IRS was basically looking at everybody;0.5;-1;0;18
Says Obama promised unemployment would never go above 8 percent;0.25;0.9771268526121949;3;8
The economy is creating jobs at the fastest pace since 1999;1.0;0.990842812962371;6;9
President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York;0.75;0.000629968397738101;4;12
In a majority of states you can now marry freely but can still be fired for who you love;0.75;1.0;1;17
Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress;0.0;0.00030822293673427037;8;16
Rudy Giuliani is probably the most underqualified man since George Bush to seek the presidency;0.0;1.0;1;13
About half of the presidents have been governors;0.0;0.990842812962371;3;6
After Britains vote to leave the European Union within 24 hours Americans lost $100 billion from our 401ks;0.75;0.969714545556083;2;16
Medicaid spending declined by 1.9 percent in 2012 the second such decline in 47 years;0.75;0.969714545556083;2;13
Says 88 Texas constables have died in the line of duty;1.0;1.0;3;9
Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20000;0.75;0.11410742419908593;3;11
The city of Columbus would save $41 million a year if employees had to contribute to their own guaranteed-check pensions;0.75;0.9878753209534076;4;18
As Floridas CFO I shut down Krakows scam and refunded more than $1.2 million to Josephine and other victims of this con man;1.0;1.0;1;21
You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now;0.75;0.02509917125600092;2;18
The Air Force wants taxpayers to fund a fantasy football league;0.0;0.02509917125600092;2;9
Barack Hussein Obama will force courts to accept Islamic Sharia law in domestic disputes;0.0;0.0;3;12
About 3 percent of murders and crimes are committed with guns from people who actually legally purchase those guns;0.5;0.11410742419908593;3;17
Some neighborhood schools are closing;0.75;-1;0;3
He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy;0.75;0.8707058432429443;3;17
The years that I was speaker the Florida House consistently offered leaner budgets than the governor offered;0.75;0.0;2;15
We are already almost halfway to our 2010 goal of creating 700000 new jobs in seven years;0.25;0.002907502734421419;3;15
Says the U.S. Supreme Court found that Social Security is not guaranteed;1.0;0.9707094788643267;5;10
Says Michael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado;0.0;1.0;2;13
Oregonians have an amazing no-cost way to fight abortion with free political donation;1.0;-1;0;11
The president said hes going to bring in 250000 Syrian and Iraqi refugees into this country;0.0;0.007664163755430331;5;14
Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity and thats what they support;0.25;0.11410742419908593;3;25
Newt Gingrichs immigration plan offers a new doorway to amnesty;0.75;-1;0;8
Mr. Caprio is a career politician who has never worked in the private sector;0.0;0.005380380017541708;8;12
In Rhode Island 9 percent of workers use the states temporary disability insurance program each year while in New Jersey the rate is only 3 percent;0.25;0.9973206459263142;4;24
In just 17 years spending for Social Security federal health care and interest on the debt will exceed ALL tax revenue;0.75;0.969714545556083;6;19
President Obama took more money from Wall Street in the 2008 campaign than anybody ever had;0.75;0.8872092873909276;5;14
Donald Trump has said nuclear proliferation is OK;0.5;1.0;2;6
Hillary Clinton has taken over $800000 from lobbyists;1.0;0.0;2;6
Barack Obama has never even worked in business;0.0;0.02446062058192977;2;6
Says the Arizona immigration law expressly bans racial profiling;0.5;0.00032332711201088493;3;7
Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border;0.0;0.037076544187566896;10;22
On the VA: Over 300000 veterans have died waiting for care;0.25;-1;0;9
Were now spending 42 percent of our economy on government;0.75;0.02446062058192977;2;8
Rob Cornilles supports privatizing Medicare;0.25;-1;0;3
In 2005 Dan Branch tried to expand third-trimester abortions in Texas;0.0;0.0;1;9
We Democrats have made steady progress creating jobs and improving our schools;0.5;0.0;1;10
Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there;0.0;0.0;1;24
Whether you like to admit it or not half our general revenue goes to education;1.0;0.0;1;13
Im the only one whos fought against developers draining the Everglades;0.0;0.969714545556083;2;9
Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program;0.5;0.005380380017541708;8;13
There are 31 other states and 10000 other cities that have the same type of policies that we just passed referring to North Carolinas House Bill 2;0.5;0.9294885991494313;6;25
Climate change is directly related to the growth of terrorism;0.25;0.11584058711604772;3;8
The jobs bill includes President Obamas tax on soup kitchen;0.25;-1;0;8
Says the Obama administration spent taxpayer dollars on electric cars in Finland and windmills in China;0.25;0.0005983219592531341;4;14
While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed;0.5;0.002907502734421419;3;29
If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50 the city would have 23 different bicycle violations that have a higher forfeiture;0.5;0.02446062058192977;2;23
We have more illegal immigrants here than we did five years ago;0.0;0.9314632950725921;4;10
Says Rick Perry wrote a letter supporting Hillarycare;0.25;0.7657631620520681;4;6
The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name;0.0;0.0;2;12
The presidents health care proposals will cause most Americans to have their premiums increased not decreased and hundreds of millions of people lose their current insurance coverage;0.0;0.002791138408915206;6;25
Mexican immigrants are more law-abiding than U.S. citizens and that is a statistic;0.75;0.02446062058192977;2;11
Says Chris Christie vetoed a jobs package of 30 bills;0.5;1.0;2;8
There are already more American jobs in the solar industry than in coal mining;1.0;1.0;1;12
Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers;0.5;0.06491663090469901;5;25
Barack Obama is in an economy thats only worsened since hes been president of the United States;0.5;0.21436484745508577;4;15
Romney failed to take action against sanctuary cities in Massachusetts;0.75;1.0;1;8
Says New Jersey is down nearly 200000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months;0.5;0.9482375225314149;10;32
Says Thomas Eric Duncan came into the United States with an elevated temperature;0.0;0.046446415297875854;4;11
We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history;0.75;0.990842812962371;6;20
Gas prices have gone up $2 since Obama took office;0.5;0.06491663090469901;5;8
Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships;1.0;0.8230921801765265;3;15
Says judges get better benefits at a lower cost than everybody else in the state;1.0;0.969714545556083;2;13
There are a lot of casinos across the country that have gone bankrupt;1.0;0.9482375225314149;4;11
Small businesses create 70 percent of the jobs in America;1.0;0.2166699244268926;4;8
Seniors with coverage under Medicare Advantage will give up more than their share because of health care refor;0.5;0.01321827101352202;3;16
Over 12000 school kids were arrested in Florida. It makes Florida the nations leader in that area;0.5;-1;0;15
If Texas were a country our economy would rank 10in the WORLD;0.75;-1;0;10
There are more oil rigs in operation in the United States than the rest of the world combined;0.0;0.9067851563634053;11;16
Payday lenders profit from the poor by charging 1000-plus percent interest;0.5;-1;0;9
The Social Security trust fund is sound. Without anything being done it would function well into 2038;0.5;0.005380380017541708;4;15
It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday;0.75;0.9984323498467209;2;28
The Obama administration shut down the Amber Alert program because of the government shutdown;0.0;0.969714545556083;4;12
The Republicans have 2 percent of the Muslim vote;0.75;0.8872092873909276;5;7
We see Americas prison population exploding with America having a greater percentage of its people behind bars than any other nation in the world;0.75;0.30283244512979446;5;22
Says that in a hearing Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods like stabbing or clubbing enemy forces in order to minimize the carbon output;0.0;0.11584058711604772;3;35
Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2800 cost-of-living adjustment on January 1 2015;0.5;0.14294430425095717;6;25
In Texas the No. 1 name for new male babies many of whom will vote one day is Jose;1.0;0.02446062058192977;2;17
Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people;0.75;0.9406636794719703;6;17
Under the Cash for Clunkers program all weve got to do is go to a local junkyard all youve got to do is tow it to your house. And youre going to get $4500;0.0;0.023480757147913867;11;32
Not one Republican has the guts to recognize that climate change is real;0.0;0.046446415297875854;4;11
While our people work longer hours for lower wages almost all new income goes to the top 1 percent;0.5;0.7074042429541216;8;17
David Dewhurst has a record of promoting an income tax;0.0;0.046446415297875854;4;8
Point Pleasant Beach does not own its beaches;0.75;-1;0;6
In the past year more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldnt be there;0.25;0.14816601263088525;10;23
In the last five years 28000 people have been killed along the U.S.-Mexico border;0.0;0.010717039959581287;7;12
The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation;0.25;0.7921423270184107;13;24
Says Obama health reform law denies millions access to affordable insurance;0.0;-1;0;9
Says HB2 hasnt moved the needle one iota on North Carolinas economy;0.25;-1;0;10
Close to 30% of our federal prison population consists of illegal immigrants;0.0;0.8707058432429443;3;10
Says Rick Scott called education not a core function of the state;0.0;0.0005983219592531341;4;10
The Family Research Council according to some government agencies is a terrorist group;0.0;-1;0;11
Says Rep. Jim Weidner proposed a bill taking away health care for 80000 of Oregons children;1.0;0.01321827101352202;3;14
Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history;1.0;0.9314632950725921;4;20
Obamacare is the biggest tax increase in American history;0.0;0.022364773480242905;7;7
You said that Barack Obama was not ready to be commander in chief;1.0;0.0;3;11
The median male worker in this country has not seen a raise inflation adjusted for 30 years basically;0.75;1.0;3;16
Milwaukee Mayor Tom Barrett has held the line on property taxes;0.25;0.0006139413050139098;4;9
Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200;1.0;0.9294885991494313;12;25
Unlike the gridlock in Washington more than 80 percent of the bills we passed during this General Assembly had bipartisan support;1.0;0.9579281414726513;7;19
Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved;0.0;-1;0;15
Rick Scott took $200000 from a family that leased land for drilling and now he is trying to hide from it;0.5;0.01982263416707386;5;19
On how money from a possible lease of the Ohio Turnpike would be use;0.5;1.0;1;12
At the beginning of the last decade America had a budget surplus of over $200 billion. By the time I took office we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade;0.75;0.07108125427093392;16;39
The president has had 1540 of his nominations confirmed only four defeated;0.5;1.0;1;10
U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East;1.0;0.002791138408915206;3;13
Milwaukee County taxpayers paid $370000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront;0.25;-1;0;28
There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election;0.75;0.00033176764787656854;3;19
Democratic presidents have been considerably more effective at creating private-sector jobs;1.0;1.0;1;9
Joe Biden voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq;1.0;0.11410742419908593;6;15
Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed;0.25;0.0006139413050139098;2;15
One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president;0.5;0.5410750027975131;6;23
Military recruiting went on at Harvard every single day throughout the time Kagan was there;0.5;1.0;1;13
Says that under Rick Perrys plan Texas has cut funding for public schools by 25%;0.75;0.0010588555796866572;6;13
Says David Perdue wants to abolish the U.S. Department of Education which would cost Georgia schools $1 billion a year and eliminate millions in student loans;0.5;0.18397250398776266;11;24
The Paul Ryan budget proposal would privatize Medicare;0.75;0.00013504307948264405;4;6
High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court;0.75;0.16508928159433334;7;23
The United States imprisons more than any nation in the world;0.5;0.21436484745508577;4;9
Says Marco Rubio is the one for an open border;0.0;0.01321827101352202;3;8
Over 30 years federal spending on education has grown by 375 percent but test scores remain flat;0.75;0.002791138408915206;3;15
Says cuts to Medicare affect people who have already paid in. We paid for it;0.25;0.9482375225314149;2;13
David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott;0.25;1.0;4;17
The American healthcare system burns 18 percent of our national GDP. Nobody else is close;1.0;0.8707058432429443;3;13
Providences port is 200 miles closer to Europe than any other Eastern port;0.0;1.0;1;11
Says you need a photo ID to purchase Sudafed in Texas;1.0;0.02446062058192977;2;9
Twenty percent of housing in Portlands Pearl District is affordable;0.75;1.0;1;8
Says allowing the payroll tax holiday to expire would end up costing another estimated 900000 jobs in 2012;0.75;1.0;1;16
Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs;0.5;0.02509917125600092;2;11
Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth;0.5;0.0;2;14
Obamas budget plan would take national debt up to about 80 percent of gross national product. Historically its been about 40 percent;1.0;0.07324181705858746;7;20
Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on;0.25;0.969714545556083;6;18
We now have driven health care costs down to the lowest theyve been in 50 years;0.0;0.06491663090469901;5;14
President Barack Obamas initial response when we heard about the Christmas underwear bomber was to say that this was the act of an isolated extremist;0.5;0.046446415297875854;4;23
Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes he now claims that his stimulus bill didnt do enough to lower taxes;0.5;0.0;4;34
In the 1950s A lot of people got rich and they had to pay a top tax rate of 90 percent;0.75;0.0432881731736946;6;19
The Charleston S.C. shootershould have never been given a gun but the universal background check was not fast enough;0.75;0.002791138408915206;3;17
Sixty-five percent of the Iraqi people now say its okay to shoot an American soldier;0.25;1.0;1;13
Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional;0.0;0.0;5;22
Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years;0.5;0.07274702753435613;7;23
Warren Buffett still does support me;1.0;-1;0;4
Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill;1.0;0.9052112099686789;7;14
A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted;0.0;1.0;1;19
About 230000 people that were on unemployment when I took office are not on unemployment now;0.75;0.9482375225314149;2;14
One person Kathleen Sebelius was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die;0.25;1.0;2;18
Ron Klein repeatedly voted in favor of amnesty for illegal immigrants;0.0;0.02446062058192977;4;9
Local law enforcement will have access to the Obamacare Data Hubs treasure trove of personal info;0.0;1.0;2;14
During his tenure as mayor he saw Houstons crime rates drop to the lowest levels in more than 25 years;1.0;0.9294885991494313;6;18
Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro;0.0;0.02446062058192977;2;14
John McCain one of the richest people in a Senate filled with millionaires says the solution to the housing crisis is for people to get a second job and skip their vacations;0.25;0.9685467928829217;8;30
Terry McAuliffe wants to raise your taxes $1700 to pay for his infinite promises;0.0;0.0004975316897044557;5;12
Hypocrisy at the Clinton Foundation: Top male staff made on average $218029 while top female staff made $153014 from 2010-2014;0.5;-1;0;18
Since the federal Violence Against Women Act was adopted in 1994 cases of domestic violence have fallen by 67 percent;0.75;0.963411894213387;5;18
Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning;0.5;1.0;1;23
On legalizing illegal immigrants;0.5;-1;0;2
Nearly half of all pregnancies in the U.S. are unintended;1.0;0.9482375225314149;4;8
We are borrowing Saudi money for Saudi oil with the result being dependency and debt;0.5;-1;0;13
Says there are homes for sale on and around Oswego Lake right now for under $150000 that anyone is welcome to buy;0.5;0.0;1;20
Since the president became the president we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590000 public sector jobs;0.5;0.9084298923945286;7;34
The top 1 percent pay over half of the entire revenue for this country;0.0;0.9579281414726513;7;12
The difference over the previous four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money;0.25;0.21436484745508577;4;31
Chris Christie has not increased the taxes on anyone;0.5;0.8230921801765265;3;7
The United States does not have a system through which growers and dairies can bring a workforce legally into the U.S;0.25;0.9933074141240432;6;19
Says he never said he would keep education funding the same;0.0;0.0005983219592531341;4;9
Since 1978 college tuition nationwide has gone up something like four times the rate of inflation;1.0;0.7074042429541216;4;14
Says Sen. Rob Portman said It would be irresponsible not to cut Medicare;0.5;0.02446062058192977;6;11
Most of if not all of the DeKalb school construction projects always came in on or were under budget;0.75;0.9482375225314149;2;17
Palin supported right-wing extremist Pat Buchanan for president in 2000;0.0;-1;0;8
Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes;0.25;0.00013504307948264405;4;12
Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax;0.25;0.0025782397347625663;8;15
