text;grand_truth;calculated;dif;found phrases;out of
The Iranians continue in the view of every objective observer continue to pursue the acquisition of nuclear weapons;0;-1;1.0;0;16
Were already bombing seven countries;1;-1;2.0;0;3
Ohio Republicans made significant gains during Chris McNultys time at the ORP including the extremely successful re-election of President Bush in Ohio;0.75;1.0;-0.25;2;20
Says the federal government tells health insurance companies how much money theyre allowed to keep of what they receive in revenues  15 percent;0.5;0.3611858704221107;0.1388141295778893;5;21
Says 67 percent of marriages now wind up in divorce;0;-1;1.0;0;8
Since 2001 higher education in the state has been cut or allowed to erode by 35 or 40 percent;0.75;0.3996089008423087;0.3503910991576913;5;17
Says Hillary Clinton helped get done the Childrens Health Insurance Program;0.75;0.5613557750303879;0.18864422496961208;5;9
Russ Feingold has not worked anywhere outside of politics;0;-1;1.0;0;7
Its taken more time to complete the Towpath Trail than it did to build the Ohio Erie Canal;1;0.5569050366194248;0.4430949633805752;3;16
As the number of vaccines administered to children has increased in the United States so has the autism rate;0;0.4804962474693655;-0.4804962474693655;4;17
Scott Walker has even removed the 250000 jobs promise from his website;0;1.0;-1.0;1;10
The Obama Administration wants to have soldiers and officers pledge a loyalty oath directly to the office of the President and no longer to the Constitution;0;0.10191024776192237;-0.10191024776192237;5;24
After Texas defunded Planned Parenthood both the unintended pregnancy and abortion rates dropped;0.25;1.0;-0.75;1;11
Only one out of five of the so-called Syrian refugees who went into Europe were actually Syrian;0.25;1.0;-0.75;2;15
Says Rep. Maxine Waters D-Calif. only needs about 40000 to 50000 votes to win election to Congress compared with the 120000 votes King needs because Waters has a higher immigrant population;0.5;1.0;-0.5;1;29
The New York Times had to retract its story that Hillary Clintons email handling had broken certain laws;0;1.0;-1.0;2;16
Says Judge Gonzalo Curiel is a member of a club or society very strongly pro-Mexican;0.25;1.0;-0.75;3;13
We expanded charter schools;0.5;-1;1.5;0;2
Very few men outlive their own fertility;0.5;-1;1.5;0;5
Our economy is so much stronger than when Barack Obama and Joe Biden took office. Nearly 15 million new private-sector jobs;0.5;0.3220682918172897;0.1779317081827103;6;19
Women own just 1 percent of the worlds land;0;0.4404888181784592;-0.4404888181784592;3;7
Senator Clinton tried to spend $1 million on the Woodstock Concert Museum;1;-1;2.0;0;10
Obama ad contends that John McCain endorses Rush Limbaughs comments about immigration;0;1.0;-1.0;1;10
Obamacare will question your sex life;0;-1;1.0;0;4
Ive taken on the federal government and won;1;0.17854075844969797;0.821459241550302;3;6
The Democrats health care bill gives a new Health Choices Commissioner the right to look at an individuals tax return to determine what medical benefits or subsidies that person qualifies for;0.5;0.10191024776192237;0.39808975223807763;5;29
Says restoring Georgia pre-k to a 180-day program was a real result of his leadership;0.5;1.0;-0.5;3;13
Says Hillary Clintons health care plan from the 1990s had a broader provision in favor of corporate right to back out of providing contraceptive coverage than the one created by the Hobby Lobby Supreme Court decision;0;0.2805195728391322;-0.2805195728391322;5;34
The fact is voter fraud is rampant;0;0.12321399908691455;-0.12321399908691455;2;5
Wisconsins non-discrimination law doesnt protect members of the trans-gender community;1;1.0;0.0;1;8
In 2008 Maggie Hassan voted against legislation to prevent sanctuary cities in New Hampshire;0.75;0.35181368727423;0.39818631272577;4;12
As mayor Barrett led efforts to redevelop the Menomonee Valley which now supports nearly 4000 jobs in Wisconsin;1;1.0;0.0;1;16
When is a farm bill not a farm bill? When 90 percent of it is for food stamps;0.75;0.3665107703107442;0.3834892296892558;4;16
Says most states but not Texas permit jurors to ask questions of witnesses in trials;0.5;1.0;-0.5;1;13
President Obama is actually increasing Bush-era defense spending by $21 billion in the new fiscal year;0.75;0.3584125916710713;0.3915874083289287;4;14
Says 56 percentof the U.S.-Mexico border is not under our control;0.5;1.0;-0.5;1;9
At protests in Wisconsin against proposed collective bargaining changes phony sick notes were passed out to excuse striking union members;0.75;1.0;-0.25;1;18
Since Rep. John Boccieris election Ohio has lost 600000 jobs and his districts unemployment has doubled;0;1.0;-1.0;1;14
I sponsored the amendment that expanded the hours of early voting so that people who have irregular work schedules could vote;0.5;0.5613557750303879;-0.061355775030387916;5;19
By the end of his first term President Obama will have added as much debt as all the prior 43 presidents combined;0.75;0.44216999045844196;0.30783000954155804;11;20
Obama plans a tax increase for everyone earning more than $42000 a year;0;0.3533554415340403;-0.3533554415340403;3;11
Half the kids coming out of college this year cant find a job or a job thats consistent with a college degree;1;0.3267927881425058;0.6732072118574942;6;20
Charlie Crist raised taxes in 2009 and wont rule out raising taxes again;0.75;0.6027029668775543;0.1472970331224457;4;11
The payday loan industry does not exist in a state like Minnesota;0;1.0;-1.0;2;10
Heres the simple and undeniable fact: The overwhelming majority of violent criminals are Democrats;0.25;0.646594720286334;-0.396594720286334;3;12
Says Rep. Charlie Bass R-NH voted to raise his own pay eight time;0.5;0.26785669967895764;0.23214330032104236;4;11
Says Bruce Springsteen only had 8000 tickets sold for a Greensboro show and canceled after they didnt get the ticket sales they wanted;0;1.0;-1.0;1;21
In January I outlined a plan to help revive our faltering economy which formed the basis for a bipartisan stimulus package that passed the Congress;0.25;0.17854075844969797;0.07145924155030203;3;23
The state Legislature attempted to outlaw stem cell research passes bills about microchips in the brain and talks about seceding from the Union;0.75;0.1379322026688644;0.6120677973311356;3;21
The CBO saysthe cost of health care reform will rise to $1.8 trillion increasing the price to far greater than the $900 billion originallyprojected;0.25;0.37469536600264386;-0.12469536600264386;6;22
Hillary Clinton has the only health care plan that covers every American;1;0.15061562578385534;0.8493843742161447;5;10
Says the national heath care reform is a government takeover of health care;0;0.09063126643206143;-0.09063126643206143;6;11
In 40 years of broadcast I have never endorsed any candidate;1;0.27249041402892327;0.7275095859710767;2;9
There was serious voter fraud in Virginia;0;1.0;-1.0;4;5
In New York your chances of getting murdered are 1 in 25000. In Honduras its 1 in 14;0.5;1.0;-0.5;2;16
Georgia spends in the top 10 nationally on education yet most of our education metrics hover in the bottom five;0.5;0.4344953758885137;0.06550462411148628;4;18
Thanks to Washington nearly everyone will pay more in taxes in 2013. Somehow people think its just the wealthy. Its not;0.5;1.0;-0.5;1;19
The 9/11 terroristsfriends family girlfriends in the United Stateswere sent back for the most part to Saudi Arabia. They knew what was going on. They went home and they wanted to watch their boyfriends on television;0;0.26207268329439903;-0.26207268329439903;7;34
The Koch brothers alone gave twice as much money to Scott Walker as the total amount of money raised by Tom Barrett;0;0.2941624643462474;-0.2941624643462474;6;20
Mitt Romneys platform wont protect the mortgage interest tax deduction for middle-class families;0.25;1.0;-0.75;1;11
Just 9 percent of Muslims in Pakistan view ISIS favorably. Unfortunately that 9 percent is 16 million people. And thats just one country;0.75;1.0;-0.25;1;21
New energy standards will take away our freedom of choice and selection in the light bulbs we have in our homes;0.25;1.0;-0.75;1;19
Says David Rivera received a $5000 campaign contribution from Congressman Spencer Bachus who is currently under House Ethics investigation for insider trading;0.75;0.42386167814303155;0.32613832185696845;2;20
Georgia has more illegal aliens than the state of Arizona;1;0.17854075844969797;0.821459241550302;3;8
As Dane County executive Kathleen Falk raised property taxes by millions of dollars every year and approved the second highest increase in the state in 2010;1;0.37015553407400514;0.6298444659259949;12;24
More people were killed by terrorists in 2015 than in any other year ever after an 80 percentincrease from 2014;0.75;0.3935898162277035;0.3564101837722965;6;18
The financial penalties imposed on gay couples can cost us more than $300000 compared with married heterosexual couples over a lifetime;0.75;1.0;-0.25;2;19
Forty percent of illegal immigrants are people coming legally on visas and overstaying their visas;0.75;0.5362481940798721;0.21375180592012788;4;13
Nearly 46 million Americans dont have health insurance coverage today;0.75;0.33780216564865506;0.41219783435134494;5;8
Says Tommy Thompson pushed such strict laws that abortion providers faced potential life imprisonment and women were forced to cross state lines in order to receive attention for life-threatening issues;0.5;0.2847027830482637;0.21529721695173631;3;28
Governor Christie his idea of jumpstarting the economy is to propose a trickle-down income tax cut last year and in his budget address this year he stated his support for it again;0.25;0.4919769229847012;-0.2419769229847012;6;30
In fact oil spills from tankers are far more common than the very rare leaks from rigs or pipelines;0.5;1.0;-0.5;1;17
Youve got a medical report on me that meets the same standard as Mitt Romney and Barack Obama;0.75;0.31953460084047147;0.43046539915952853;4;16
In her short time in the United States Senate the senator from New York Senator Clinton got $500-million worth of pork barrel projects;0.75;1.0;-0.25;5;21
For several days in July of 2012 Greenland surface ice cover melted more than at any time in 30 years of satellite observation. During that month an estimated 97% of the ice sheet thawed;0.5;0.5180332119747177;-0.018033211974717744;5;32
More than 40 percent of sales nationally are made without background checks;0.5;0.6174786707120921;-0.11747867071209206;4;10
On job creation numbers in the latest Start-Up NY report: This is a significant number of overcounts in the compilation that Ive looked at;0;0.15024838205950208;-0.15024838205950208;5;22
The omnibus spending bill has 9427 pork barrel items;1;1.0;0.0;1;7
In his very first budget Milwaukee Mayor Tom Barrett broke his pledge to keep a lid on property taxes and has continued increasing taxes and fees ever since;0.25;0.3454638668885286;-0.09546386688852859;8;26
Says President George W. Bush borrowed $1.37 trillion of Social Security surplus revenue to pay for his tax cuts for the rich and his war in Iraq and never paid it back;0.25;0.23434859781547435;0.015651402184525653;10;30
The Benghazi victims were left helpless to die as Hillary Clinton soundly slept in her bed;0;1.0;-1.0;1;14
CEOs now earn 431 times what their workers earn;0.5;-1;1.5;0;7
When the auto industry was going under car parts companies like Johnson Controls begged taxpayers for a bailout and they got one;0.5;1.0;-0.5;1;20
We cut taxes 24 times;0.5;1.0;-0.5;1;3
Almost 1 million children have no health insurance in this state;1;0.1997321943827859;0.8002678056172141;2;9
When President Obama landed in Cuba on Air Force One no leader was there nobody to greet him  perhaps an incident without precedent in the long and prestigious history of Air Force One;0.5;1.0;-0.5;5;31
Says President Franklin Delano Roosevelt sent his advisers to study socialism with Soviet dictator Josef Stalin so the president could replicate it in the United States;0;0.46065435453576753;-0.46065435453576753;8;24
Says his budget plan would cut our deficits by $4 trillion;0.5;0.4252247580500972;0.07477524194990282;7;9
Says I never billed a single hour of my time to the City of Portland in the last 10 years  so no revolving door;0.25;0.38784301328917803;-0.13784301328917803;6;22
This is the first time since the Depression that unemployment has stayed above 9 percent for two consecutive years;0;0.31302303975847356;-0.31302303975847356;5;17
Red light camera installed to promote public safety;0.25;-1;1.25;0;6
Minimum wage = $16000/year CEO-Goldman Sachs Lloyd Blankfein $16000/Hour;0;-1;1.0;0;7
Obamas stimulus passed in his first month in office will cost more than the entire Iraq War;0.25;0.6427651327082846;-0.3927651327082846;4;15
Janice Hahn hired hard-core gang members with taxpayer money to be gang-intervention specialists. She even helped them get out of jail so they could rape and kill again;0;0.13939670550909633;-0.13939670550909633;4;26
According to Wikipedia there are only five countries in the entire planet that are more unequal than the United States in the distribution of our wealth;1;0.3436993447968445;0.6563006552031555;8;24
Michelle Nunns foundation directed grants to an Islamic group tied to radical terrorists;0.25;-1;1.25;0;11
As first lady Clinton would travel to places that were too small too poor or too dangerous for the president;0.25;-1;1.25;0;18
Marijuana is less addictive than both alcohol and tobacco;1;1.0;0.0;1;7
70 percent of Americans believe that we are on the wrong path;0.75;0.39668118816003717;0.35331881183996283;6;10
Says Lincoln Chafee settled a union strike by giving the teachers a 19-percent-raise;0.5;-1;1.5;0;11
Pam Bondi refuses to take a position on the gay-adoption ban;0;0.3533554415340403;-0.3533554415340403;3;9
Under Obamacare people who have a doctor theyve been seeing for the last 15 or 20 years they wont be able to keep going to that doctor;0.25;0.29226109239452314;-0.042261092394523136;5;25
Says Rick Perrys proposal on driver licenses and high school dropouts has been state law since 1989;0.5;0.3662420956982543;0.13375790430174572;2;15
Says Donald Trump promised to repeal Obamacare build a wall ban Muslims and more;0.75;0.3206028377836958;0.4293971622163042;3;12
A statewide poll showing 76 percent support and other surveys are a strong indicator of broad public support in Milwaukee County for a $10.10 minimum wag;0.5;1.0;-0.5;1;24
HIV/AIDS is dramatically on the rise in the U.S. South;0.75;0.5362481940798721;0.21375180592012788;4;8
Governor Perry you were a Democrat having worked for Al Gore as his campaign manage;0.5;1.0;-0.5;1;13
Our debt to GDP ratios our deficit to GDP ratios are quickly approaching the countries we have been reading about for the last year and a half. We are not far behind Ireland Greece Portugal and Spain and all these countries we have been reading about;0.5;0.3966170755080738;0.10338292449192621;8;44
By 12th grade more than 3 out of 10 girls have been pregnant at least once;0.5;0.4741419798168458;0.025858020183154196;2;14
The Iraq war has been our longest war;0;1.0;-1.0;1;6
The United States is about to have the smallest Army since before WWII the smallest Navy since WWI and the smallest Air Force ever;0.5;0.44635509350419633;0.05364490649580367;8;22
Federal law says that you cant give in-state tuition to an illegal alien unless you first offer it to any other student regardless of their state of residence;0.25;0.3098527604297615;-0.05985276042976151;6;26
The most realistic estimates for jobs created by Keystone XL are maybe 2000 jobs during the construction of the pipeline;0;0.5569050366194248;-0.5569050366194248;3;18
When Mitt Romney was the governor of Massachusetts he performed 100 and Im not sure this number is right but my mind says its about 180 gay marriages;0;0.3461157295824121;-0.3461157295824121;5;26
Illegal immigration costs Georgia $2.4 billion a yea;0.5;1.0;-0.5;2;6
Says Sen. Mark Pryor voted for special subsidies for lawmakers and staff in Congress so theyre protected from Obamacare;0;1.0;-1.0;1;17
Tom Barrett voted for the largest tax increase in history raising taxes on gas and Social Security;0.25;0.22547434963618684;0.024525650363813156;9;15
California is home to the largest death row populationin the Western Hemisphere;1;0.27481524347778186;0.7251847565222181;4;10
A private school tax break in the Wisconsin state budget is the most generous in the nation;0.5;0.3257997237392638;0.1742002762607362;8;15
For every time the state gets paid a dollar in taxes on gambling somebody loses $6;0.5;0.6427651327082846;-0.14276513270828461;2;14
Giving money to politicians has paid off for Paul Workman. Workman gave thousands to politicians and got millions in government construction projects;0;-1;1.0;0;20
For decades before I was elected governors tried and failed to get Minnesota out of the top 10 highest-taxed states in the country. I actually did it;0.5;0.4336148668564763;0.06638513314352368;9;25
In the U.S. African-Americans continue to be arrested at nearly three and one half times the rate of whites on marijuana charges;1;0.4684436514173871;0.5315563485826129;4;20
Harris County Texas has some of the highest jailing and incarceration rates in the U.S. and the world;0.75;0.44450033460545424;0.30549966539454576;8;16
Repealing the health care law would save $95 billion in 2016;0;1.0;-1.0;2;9
A majority of drunk driving deaths and injuries are caused by drunk driving offenders with no prior convictions;1;1.0;0.0;2;16
Fifty percent of Americans will go hungry at some time in their lives;0.25;0.3256567602237742;-0.07565676022377421;4;11
Three years ago John McCain said Afghanistan we dont read about it anymore in papers because it succeeded;1;0.42836742702034336;0.5716325729796566;4;16
Poverty levels are at an all-time high;0.25;0.646594720286334;-0.396594720286334;3;5
On ISIS Michael Bennet chose the Washington insiders over our generals;0.25;-1;1.25;0;9
You know Sen. McCain said the other day that we might have troops in Iraq for 100 year;1;0.5687966771032861;0.4312033228967139;7;16
Says the state budget includes spending on commercials for Fortune 500 companies;1;0.3256567602237742;0.6743432397762258;4;10
Says high-speed rail would have created 60000 jobs;0;1.0;-1.0;1;6
Says IBM leader told Obama that using IBM technology to cut fraud could pay for health care reform;0.5;0.31624824852019073;0.18375175147980927;4;16
Since President Obama took office 2 million jobs. Gone;0.75;0.32349492076373265;0.42650507923626735;3;7
Supported in-state tuition in Arkansas for illegal immigrants if youd sat in our schools from the time youre 5 or 6 years old and you had become an A-plus student among other things;0.25;0.31302303975847356;-0.06302303975847356;5;31
Health insurance premiums have almost doubled since 2000;1;1.0;0.0;1;6
